A (a),(ā),(eh´-ee)
abbevillean (abbevillian),ab´-ə-vil′-i-ən,åh´-beh-vih′-lee-eh-n
abbey (abbeys),ab´-i (ab´-ēz),åh´-bee (z)
abbot (abbots),ab´-ət (s),åh´-buh-t (s)
abbreviate (abbreviates),ə-brē′-vi-āt´ (s),uh-bree′-vee-eh´-ee-t (s)
abbreviated,ə-brē′-vi-āt´-ed,uh-bree′-vee-eh´-ee-teh-d
abbreviating,ə-brē′-vi-āt´-iŋ,uh-bree′-vee-eh´-ee-tih-eeng
abbreviation (abbreviations),ə-brē´-vi-ā´-shən (z),uh-bree´-vee-eh´-ee-shuh-n (z)
abbreviator (abbreviators),ə-brē′-vi-āt´-ẽr (z),uh-bree′-vee-eh´-ee-terh (z)
abbreviatory,ə-brē′-vi-ə-tôr´-i,uh-bree′-vee-uh-toh´-ree
A.b.c.‘s,"ā,bi,ci,-‘z","eh-ee,bee,see-‘z"
abdicable,ab´-də-kə-b’l,åh´-b-dih-kuh-bôô-l
abdicate (abdicates),ab′-də-kāt´ (s),åh′-b-dih-keh´-ee-t (s)
abdicated,ab′-də-kāt´-ed,åh′-b-dih-keh´-ee-teh-d
abdicating,ab′-də-kāt´-iŋ,åh′-b-dih-keh´-ee-tih-eeng
abdication,ab´-də-kā′-shən,åh´-b-dih-keh′-ee-shuh-n
abdomen (abdomens),ab′-dō-mən´ (z),åh′-b-doh-oo-meh´-n (z)
abdominal (adominals) (abs),ab-dom′-ə-nəl (z) (abz),åh-b-dah′-mih-nuh-l (z) (åh-bz)
abdominally,ab-dom′-ə-nəl-li,åh-b-dah′-mih-nuh-lee
abdominous,ab-dom′-ə-nəs,åh-b-dah′-mih-nuh-s
abduce,ab-dōōs´ (ab-dūs´),åh-b-doo´-s (åh-b-dyoo´-s)
abduced,ab-dōōsd´,åh-b-doo´-sd
abduces,ab-dōōs´-ez,åh-b-doo´-seh-z
abducent,ab-dōōs´-ənt,åh-b-doo´-seh-n-t
abduct (abducts),ab-dukt′ (s),åh-b-duh′-kt(s)
abducted,ab-dukt′-ed,åh-b-duh′-k-teh-d
abducting,ab-dukt′-iŋ,åh-b-duh′-k-tih-eeng
abduction (abductions),ab-dukt′-shən (z),åh-b-duh′-k-shuh-n (z)
abductor (abductors),ab-dukt′-ẽr (z),åh-b-duh′-k-terh (z)
Abecedarian,ā´-bē-sē-dâr′-i-ən,eh´-ee-bee-see-deh′-ree-eh-n
Abecedary,ā´-bē-sē-dâr′-i,eh´-ee-bee-see-deh′-ree
abed,ə-bed´,uh-beh´-d
Abel,ā´-b'l,eh´-ee-bôô-l
abele,ə-bel´,uh-beh´-l
abelia (abelian),ə-bē´-li-ə (ə-bē´-li-ən),uh-bee´-lee-uh (uh-bee´-lee-eh-n)
abelmosk,ā′-b'l-mosk´,eh′-ee-bôô-l-mah´-sk
aberdeen,ab´-bẽr-dēn′,åh´-berh-dee′-n
aberrance,ab-ber´-əns,uh-beh´-reh-n-s
aberrancy,ab-ber´-ən-si,uh-beh´-reh-n-see
aberrant,ab-ber´-ənt,uh-beh´-reh-n-t
aberrantly,ab-ber´-ənt-ly,uh-beh´-reh-n-t-lee
aberration (aberrations),ab´-ẽr-ā′-shən (z),åh´-berh-eh′-ee-shuh-n (z)
aberrational,ab´-ẽr-ā′-shən-əl,åh´-berh-eh′-ee-shuh-nuh-l
abet (abets),ə-bet´ (s),uh-beh´-t (s)
abetment,ə-bet´-mənt,uh-beh´-t-meh-n-t
abettal,ə-bet´-əl,uh-beh´-tuh-l
abetted,ə-bet´-ed,uh-beh´-teh-d
abetter(abettor) (abetters),ə-bet´-ẽr (z),uh-beh´-terh (z)
abetting,ə-bet´-iŋ,uh-beh´-tih-eeng
abeyance,ə-bā´-əns,uh-beh´-ee-eh-n-s
abeyant,ə-bā´-ənt,uh-beh´-ee-eh-n-t
abhor (abhors),əb-hôr´ (z),uh-b-hoh´-erh (z)
abhorred,əb-hôrd´,uh-b-hoh´-erh-d
abhorrrence,əb-hôr´-əns,uh-b-hoh´-reh-n-s
abhorrent,əb-hôr´-ənt,uh-b-hoh´-reh-n-t
abhorrently,əb-hôr´-ənt-li,uh-b-hoh´-reh-n-t-lee
abhorring,əb-hôr´-iŋ,uh-b-hoh´-rih-eeng
abidance,ə-bīd´-əns,uh-bah´-ee-deh-n-s
abide (abides),ə-bīd´ (z),uh-bah´-ee-d (z)
abided,ə-bīd´-ed,uh-bah´-ee-deh-d
abiding,ə-bī´-diŋ,uh-bah´ee-dih-eeng
abidingly,ə-bī´-diŋ-li,uh-bah´ee-dih-eeng-lee
abidingness,ə-bī´-diŋ-nes,uh-bah´ee-dih-eeng-neh-s
abigail (abigails),ab´-ə-gāl (z),åh´-bih-geh-ee-l (z)
abilities,ə-bil´-ə-tēz,uh-bih´-lih-tee-z
ability,ə-bil´-ə-ti,uh-bih´-lih-tee
abiogenesis,ab´-i-ō-jən′-ə-sis,åh´-bee-oh-oo-jeh′-nih-sih-s
abiogenetic,ab´-i-ō-jə-nət′-ik,åh´-bee-oh-oo-jeh-neh′-tih-k
abiogenetically,ab´-i-ō-jə-nət′-ik-ə-li (kli),åh´-bee-oh-oo-jeh-neh′-tih-kuh-lee (klee)
abiogenetist,ab´-i-ō-jə-nət′-ist,åh´-bee-oh-oo-jeh-neh′-tih-st
abirritant (abirritants),ab-êr´-ə-tənt (s),åh-bih´-rih-teh-n-t (s)
abject (abjects),ab-jəkt´ (s),åh-b-jeh´-kt (s)
abjected,ab-jəkt´-ed,åh-b-jeh´-k-teh-d
abjecting,ab-jəkt´-iŋ,åh-b-jeh´-k-tih-eeng
abjectly,ab-jəkt´-li,åh-b-jeh´-kt-lee
abjectness,ab-jəkt´-nes,åh-b-jeh´-kt-neh-s
abjection,ab-jək´-shən,åh-b-jeh´-k-shuh-n
abjuration,ab´-joor-ā′-shən,åh´-b-jôô-reh′-ee-shuh-n
abjuratory,ab-joor′-ə-tôr´-i,åh-b-jôô′-ruh-toh´-ree
abjure (abjures),ab-joor´ (z),åh-b-jôô´-erh (z)
abjured,ab-joord´,åh-b-jôô´-erh-d
abjurer(abjurers),ab-joor´-ẽr (z),åh-b-jôô´-erh-rerh (z)
abjuring,ab-joor´-iŋ,åh-b-jôô´-rih-eeng
ablactate(ablactates),ab-lak´-tāt (s),åh-blåh´-k-teh-ee-t (s)
ablactated,ab-lak´-tāt-ed,åh-blåh´-k-teh-ee-teh-d
ablactating,ab-lak´-tāt-iŋ,åh-blåh´-k-teh-ee-tih-eeng
ablactation,ab-lak´-tā-shən,åh-blåh´-k-teh-ee-shuh-n
ablate(ablates),ab-lāt´ (s),åh-bleh´-ee-t (s)
ablated,ab-lāt´-ed,åh-bleh´-ee-teh-d
ablating,ab-lāt´-iŋ,åh-bleh´-ee-tih-eeng
ablation,ab-lā´-shən,åh-bleh´-ee-shuh-n
ablative,ab´-lə-tiv,åh´-bluh-tih-v
/ absolute,/ ab´- sə- lōōt′,/ åh´-b- soh- loo′- t
ablaut,äb-lout´,ah-blah´-oo-t
ablaze,ə-blāz´,uh-bleh´-ee-z
ablazing,ə-blāz´-iŋ,uh-bleh´-ee-zih-eeng
able (abled) (-able),ā´-b'l (ā´-b'ld) (-ə-b'l),eh´-ee-bôô-l (eh´-ee-bôô-l-d) (-uh-bôô-l)
able bodied,/ bod′- dēd,/ bah′- dee-d
ablegate,ab′-lə-gāt´,åh′-blih-geh´-ee-t
ableism,ā´-b'l-iz-‘m,eh´-ee-bôô-lih-zih-m
ableist (ableists),ā´-b'l-ist(s),eh´-ee-bôô-lih-st(s)
abloom,ə-blōōm´,uh-bloo´-m
abluent,ab´-lōō-ənt,åh´-bloo-ih-n-t
ablution,ab-lōō´-shən,uh-bloo´-shuh-n
ablutionary,ab-lōō′-shən-âr´-i,uh-bloo′-shuh-neh´-ree
ably,ā´-b'li (ā´-bli),eh´-ee-bôô-lee (eh´-ee-blee)
abnegate (abnegates),ab′-nə-gāt´ (s),åh′-b-nih-geh´-ee-t (s)
abnegated,ab′-nə-gāt´-ed,åh′-b-nih-geh´-ee-teh-d
abnegating,ab′-nə-gāt´-iŋ,åh′-b-nih-geh´-ee-tih-eeng
abnegation,ab´-nə-gā′-shən,åh´-b-nih-geh′-ee-shuh-n
abnegator,ab′-nə-gāt´-ẽr,åh′-b-nih-geh´-ee-terh
abnormal,ab-nôr´-məl,åh-b-noh´-erh-muh-l
abnormalities,ab´-nôr-mal′-ə-tēz,åh´-b-noh-erh-måh′-lih-tee-z
abnormality,ab´-nôr-mal′-ə-ti,åh´-b-noh-erh-måh′-lih-tee
abnormities,ab-nôr´-mit-ēz,åh-b-noh´-erh-mih-tee-z
abnormity,ab-nôr´-mit-i,åh-b-noh´-erh-mih-tee
aboard,ə-bôrd´,uh-boh´-erh-d
abode (abodes),ə-bōd´ (z),uh-boh´-oo-d (z)
abolish (abolishes),ə-bol´-ish (ə-bol´-ish-ez),uh-bah´-lih-sh (uh-bah´-lih-sheh-z)
abolished,ə-bol´-ishd,uh-bah´-lih-shd
abolishable,ə-bol´-ish-ə-b’l,uh-bah´-lih-shuh-bôô-l
abolisher (abolishers),ə-bol´-ish-ẽr (z),uh-bah´-lih-sherh (z)
abolishing,ə-bol´-ish-iŋ,uh-bah´-lih-shih-eeng
abolishment,ə-bol´-ish-mənt,uh-bah´-lih-sh-meh-n-t
abolition,ab´-bə-lish´-ən,åh´-buh-lih´-shuh-n
abolitionism,ab´-bə-lish′-ən-iz-’m,åh´-buh-lih′-shuh-nih-zih-m
abolitionist,ab´-bə-lish′-ən-ist,åh´-buh-lih′-shuh-nih-st
abomasal,ab´-bə-mā′-səl,åh´-buh-meh′-ee-suh-l
abomasi,ab´-bə-mā′-sī,åh´-buh-meh′-ee-sah-ee
abomasum,ab´-bə-mā′-səm,åh´-buh-meh′-ee-suh-m
abomasus,ab´-bə-mā′-səs,åh´-buh-meh′-ee-suh-s
A-bomb,ā′-bäm´,eh′-ee-bah´-m
abominable,ə-bom´-ə-nə-b'l,uh-bah´-mih-nuh-bôô-l
abominableness,ə-bom´-ə-nə-b'l-nes,uh-bah´-mih-nuh-bôô-l-neh-s
abominably,ə-bom´-ə-nə-b'li (bli),uh-bah´-mih-nuh-bôô-lee (blee)
abominate (abominates),ə-bom′-ə-nāt´ (s),uh-bah′-mih-neh´-ee-t (s)
abominated,ə-bom′-ə-nāt´-ed,uh-bah′-mih-neh´-ee-teh-d
abominating,ə-bom′-ə-nāt´-iŋ,uh-bah′-mih-neh´-ee-tih-eeng
abomination (abominations),ə-bom´-ə-nā′-shən (z),uh-bah´-mih-neh′-ee-shuh-n (z)
aboral,ab-ôr´-əl,uh-boh´-ruh-l
aboriginal,ab´-bə-rij′-ə-nəl,åh´-boh-rih′-jih-nuh-l
aboriginally,ab´-bə-rij′-ə-nəl-li,åh´-boh-rih′-jih-nuh-lee
Aborigine (aborigines),ab´-bə-rij′-ə-nē (z),åh´-boh-rih′-jih-nee (z)
abort(aborts),ə-bôrt´(s),uh-boh´-erh-t (s)
aborted,ə-bôrt´-ed,uh-boh´-erh-teh-d
abortifacient,ə-bôr´-tə-fə-kā′-shənt,uh-boh´-erh-tih-fih-keh′-ee-sheh-n-t
aborting,ə-bôrt´-iŋ,uh-boh´-erh-tih-eeng
abortion (abortions),ə-bôr´-shən (z),uh-boh´-erh-shuh-n (z)
anti-abortion,an′- tī- /,åh´- n- tah- ee- /
abortionist (abortionists),ə-bôr´-shən-ist (s),uh-boh´-erh-shuh-nih-st (s)
abortive (abortively),ə-bôr´-tiv (ə-bôr´-tiv-li),uh-boh´-erh-tih-v (uh-boh´-erh-tih-v-lee)
abortiveness,ə-bôr´-tiv-nes,uh-boh´-erh-tih-v-neh-s
ABO System (blood type),ā´-bi-ō sis´-təm (blud´ tīp),eh´-ee-bee-oh-oo sih´-steh-m (bluh´-d tuh-ee-p)
abound (abounds),ə-bound´ (z),uh-bah´-oo-n-d (z)
about,ə-bout´,uh-bah´-oo-t
above,ə-buv´,uh-buh´-v
all of the /,ôl´ əv thi /´,aw ´- l uh- v thee /´
and / all,and / ôl´,åh- n- d / aw ´- l
/ and beyond,/´ and bi- yond´,/´ åh- n- d bee- yah´- n- d
/ board,/ bôrd´,/ boh´ - erh-d
abra cadabra (abracadabra),ab´-brə kə-dab′-rə,åh´-bruh kuh-dåh′-bruh
abradant,ə-brād´-ənt,uh-breh´-ee-deh-n-t
abrade (abrades),ə-brād´ (z),uh-breh´-ee-d (z)
abraded,ə-brād´-ed,uh-breh´-ee-deh-d
abrading,ə-brād´-iŋ,uh-breh´-ee-dih-eeng
Abraham,ā´-brə-ham,eh´-ee-bruh-håh-m
Abrahamic,ā´-brə-ham′-ik,eh´-ee-bruh-håh′-mih-k
abranchiate,ə-braŋ′-ki-āt´ (ə-braŋ′-ki-it´),uh-bråh´-ng-kee-eh´-ee-t (uh-bråh´-ng-kee-ih´-t)
abrasion (abrasions),ə-brā´-zhən (z),uh-breh´-ee-zhuh-n (z)
abrasive (abrasives),ə-brā´-siv (z),uh-breh´-ee-sih-v (z)
abrasively,ə-brā´-siv-li,uh-breh´-ee-sih-v-lee
abreact,ab´-ri-akt′,åh´-bree-åh′-kt
abreaction,ab´-ri-ak′-shən,åh´-bree-åh′-k-shuh-n
abreast,ə-brəst´,uh-breh´-st
abri,ab′-ri,åh´-bree
abridgable (abrigeable),ə-brij´-əb’l,uh-brih´-juh-bôô-l
abridge,ə-brij´,uh-brih´-j
abridged,ə-brijd´,uh-brih´-jd
abridges,ə-brij´-ez,uh-brih´-jeh-z
abridger (abridgers),ə-brij´-ẽr (z),uh-brih´-jerh (z)
abridgement,ə-brij´-mənt,uh-brih´-j-meh-n-t
abridging,ə-brij´-iŋ,uh-brih´-jih-eeng
abroach,ə-brōch´,uh-broh´-oo-ch
abroached,ə-brōchd´,uh-broh´-oo-chd
abroaches,ə-brōch´-ez,uh-broh´-oo-cheh-z
abroad,ə-brôd´,uh-braw´-d
abrogable,ab´-rō-gə-b’l,åh´-broh-oo-guh-bôô-l
abrogate (abrogates),ab′-rə-gāt´ (s),åh′-broh-geh´-ee-t (s)
abrogated,ab′-rə-gāt´-ed,åh′-broh-geh´-ee-teh-d
abrogating,ab′-rə-gāt´-iŋ,åh′-broh-geh´-ee-tih-eeng
abrogation (abrogations),ab´-rə-gāt′-shən (z),åh´-broh-geh′-ee-shuh-n (z)
abrogative,ab´-rə-gā′- tiv,åh´-broh-geh′-ee-tih-v
abrupt,ə-brupt´,uh-bruh´-pt
abruptly,ə-brupt´-li,uh-bruh´-pt-lee
abruptness,ə-brupt´-nes,uh-bruh´-pt-neh-s
abruption,ə-brup´-shən,uh-bruh´-p-shuh-n
Absalom,ab´-sə-ləm,åh´-b-suh-luh-m
abscess (abscessed),ab´-səs (ab´-səsd),åh´-b-seh-s (åh´-b-seh-sd)
abscesses,ab´-səəs-ez,åh´-b-seh-seh-z
abscind,ab-sind´,åh-b-sih´-n-d
abscise,ab-sīz´,åh-b-sah´-ee-z
abscised,ab-sīzd´,åh-b-sah´-ee-zd
abscises,ab-sīz´-ez,åh-b-sah´-ee-zeh-z
abscising,ab-sīz´-iŋ,åh-b-sah´-ee-zih-eeng
abscissa,ab-sis´-ə,åh-b-sih´-suh
abscissae,ab-sis´-i,åh-b-sih´-see
abscission,ab-sizh´-ən,åh-b-sih´-zhuh-n
abscond (absconds),ab-skond´ (z),åh-b-skah´-n-d (z)
absconded,ab-skond´-ed,åh-b-skah´-n-deh-d
absconder (absconders),ab-skond´-ẽr (z),åh-b-skah´-n-derh (z)
absconding,ab-skond´-iŋ,åh-b-skah´-n-dih-eeng
abseil,äp -zil´,ah-p-zih´-l
absence,ab´-səns,åh´-b-seh-n-s
absent (absently),ab´-sənt (ab´-sənt-li),åh´-b-seh-n-t (åh´-b-seh-n-t-lee)
absentee,ab´-sən-tē′,åh´-b-seh-n-tee′
absenteeism,ab´-s'n-tē′-iz-‘m,åh´-b-sih-n-tee′-ih-zih-m
absenter (absenters),ab-sənt´-ẽr (z),åh-b-seh´-n-terh (z)
absentminded,ab´-sənt-mīnd′-ed,åh´-b-seh-n-t-mah′-ee-n-deh-d
absentmindedly,ab´-sənt-mīnd′-ed-li,åh´-b-seh-n-t-mah′-ee-n-deh-d-lee
absentmindedness,ab´-sənt-mīnd′-ed-nes,åh´-b-seh-n-t-mah′-ee-n-deh-d-neh-s
absinthe,ab´-sinth,åh´-b-sih-n-th
absinthial,ab-sin´-thi-əl,åh-b-sih´-n-thee-uh-l
absolute,ab´-sō-lōō′-t,åh´-b-soh-oo-loo´-t
/ zero,/ zêr´-ō,/ zih´-roh-oo
absolutely,ab´-sō-lōō′-t-li,åh´-b-soh-oo-loo´-t-lee
absoluteness,ab´-sō-lōō′-t-nes,åh´-b-soh-oo-loo´-t-neh-s
absolution (absolutions),ab´-sō-lōō′-shən (z),åh´-b-soh-oo-loo′-shuh-n (z)
absolutism,ab´-sō-lōō′-tiz-‘m,åh´-b-soh-oo-loo′-tih-zih-m
absolutist (absolutists),ab´-sō-lōō′-tist (s),åh´-b-soh-oo-loo′-tih-st (s)
absolutistic,ab´-sō-lōō-tist′-ik,åh´-b-soh-oo-loo-tih′-stih-k
absolutory,ab-sō′-lū-tôr´-i,åh-b-soh′-oo-l-yoo-toh´-ree
absolvable,ab-solv´-ə-b’l,åh-b-sah´-l-vuh-bôô-l
absolve (absolves),ab-solv´ (z),åh-b-sah´-l-v (z)
absolved,ab-solv´-d,åh-b-sah´-l-vd
absolver (absolvers),ab-solv´-ẽr (z),åh-b-sah´-l-verh (z)
absolving,ab-solv´-iŋ,åh-b-sah´-l-vih-eeng
absonant,ab´-sə-nənt,åh´-b-soh-neh-n-t
absorb (absorbs),əb-sôrb´(z) (əb-zôrb´)(z),uh-b-soh´-erh-b (z) (uh-b-zoh´-erh-b)(z)
absorbability,əb-sôrb´-ə-bil′-ə-ti,uh-b-soh´-erh-buh-bih′-lih-tee
absorbable,əb-sôrb´-ə-b’l,uh-b-soh´-erh-buh-bôô-l
absorbed,əb-sôrbd´ (əb-zôrbd´),uh-b-soh´-erh-bd (uh-b-zoh´-erh-bd)
absorbedly,əb-zôrb´-ed-li,uh-b-zoh´-erh-beh-d-lee
absorbedness,əb-zôrb´-ed-nes,uh-b-zoh´-erh-beh-d-neh-s
absorbency,əb-sôrb´-ən-si,uh-b-soh´-erh-beh-n-see
absorbent,əb-sôrb´-ənt,uh-b-soh´-erh-beh-n-t
absorber,əb-sôrb´-ẽr (əb-zôrb´-ẽr),uh-b-soh´-erh-berh (uh-b-zoh´-erh-berh)
absorbing,əb-sôrb´-iŋ,uh-b-soh´-erh-bih-eeng
absorption,əb-sôrp´-shən,uh-b-soh´-erh-p-shuh-n
absorptive,əb-sôrp´-tiv,uh-b-soh´-erh-p-tih-v
absorptivity,əb´-sôrp-tiv′-ə-ti,uh´-b-soh-erh-p-tih′-vih-tee
abstain (abstains),əb-stā´-n (z),uh-b-steh´-ee-n (z)
abstained,əb-stā´-nd,uh-b-steh´-ee-n-d
abstainer (abstainers),əb-stā´-nẽr (z),uh-b-steh´-ee-nerh (z)
abstaining,əb-stā´-niŋ,uh-b-steh´-ee-nih-eeng
abstemious,əb-stəm´-i-əs,åh-b-steh´-mee-uh-s
abstemiously,əb-stəm´-i-əs-li,åh-b-steh´-mee-uh-slee
abstemiousness,əb-stəm´-i-əs-nes,åh-b-steh´-mee-uh-s-neh-s
abstention (abstentions),əb-stən´-shən (z),uh-b-steh´-n-shuh-n (z)
abstentionism,əb-stən´-shən-iz-‘m,uh-b-steh´-n-shuh-nih-zih-m
abstentionist (abstentionists),əb-stən´-shən-ist (s),uh-b-steh´-n-shuh-nih-st (s)
abstentious,əb-stən´-shəns,uh-b-steh´-n-shuh-s
absterge,ab-stẽrj´,åh-b-sterh´-j
abstergent,ab-stẽrj´-ənt,åh-b-sterh´-jeh-n-t
abstinence,ab´-stə-nəns,åh´-b-stih-neh-n-s
abstinent (abstinently),ab´-stə-nənt (ab´-stə-nənt-li),åh´-b-stih-neh-n-t (åh´-b-stih-neh-n-t-lee)
abstract (abstracts),ab´-strakt (s),åh´-b-stråh-kt (s)
abstracted,ab´-strakt-ed,åh´-b-stråh-k-teh-d
abstractedly,ab´-strakt-ed-li,åh´-b-stråh-k-teh-d-lee
abstracter (abstracters),ab-strakt´-ẽr (s),åh-b-stråh´-k-terh (s)
abstracting,ab-strakt´-iŋ,åh-b-stråh´-k-tih-eeng
abstraction (abstractions),ab-strak´-shən (z),åh-b-stråh´-k-shuh-n (z)
abstractional,ab-strak´-shən-əl,åh-b-stråh´-k-shuh-nuh-l
abstractive,ab-strak´-tiv,åh-b-stråh´-k-tih-v
abstractively,ab-strak´-tiv-li,åh-b-stråh´-k-tih-v-lee
abstriction,ab-strik´-shən,åh-b-strih´-k-shuh-n
abstruse,əb-strōōs´,uh-b-stroo´-s
abstrusely,əb-strōōs´-li,uh-b-stroo´-s-lee
abstruseness,əb-strōōs´-nes,uh-b-stroo´-s-neh-s
absurd (absurdly),əb-sũrd´ (əb-sũrd´-li),uh-b-serh´-d (uh-b-serh´-d-lee)
absurdist (absurdists),əb-sũrd´-ist (s),uh-b-serh´-dih-st (s)
absurdities,əb-sũr´-də-tēz,uh-b-serh´-dih-tee-z
absurdity,əb-sũr´-də-ti,uh-b-serh´-dih-tee
absurdness,əb-sũrd´-nes,uh-b-serh´-d-neh-s
abulia,ə-bū´-li-ə,uh-byoo´-lee-uh
abulic,ə-bū´-lik,uh-byoo´-lih-k
abundance,ə-bun´-dəns,uh-buh´-n-deh-n-s
abundances,ə-bun´-dəns-ez,uh-buh´-n-deh-n-seh-z
abundant,ə-bun´-dənt,uh-buh´-n-deh-n-t
abundantly,ə-bun´-dənt-li,uh-buh´-n-deh-n-t-lee
abuse (abused),ə-būs´ (ə-būz´) (ə-būzd´),uh-byoo´-s (uh-byoo´-z) (uh-byoo´-zd)
abuses,ə-būs´-ez (ə-būz´-ez),uh-byoo´-seh-z (uh-byoo´-zeh-z)
abuser (abusers),ə-būz´-ẽr (z),uh-byoo´-zerh (z)
abusing,ə-būz´-iŋ,uh-byoo´-zih-eeng
abusive (abusively),ə-bū´-siv (ə-bū´-siv-li),uh-byoo´-sih-v (uh-byoo´-sih-v-lee)
abusiveness,ə-bū´-siv-nes,uh-byoo´-sih-v-neh-s
abut (abuts),ə-but´ (s),uh-buh´-t (s)
abutilon,ə-būt′-ə-lon´,uh-byoo′-tih-lah´-n
abutment (abutments),ə-but´-mənt (s),uh-buh´-t-meh-n-t (s)
abuttal,ə-but´-əl,uh-buh´-tuh-l
abutted,ə-but´-ed,uh-buh´-teh-d
abutting,ə-but´-iŋ,uh-buh´-tih-eeng
abysm,ə-biz´-m,uh-bih´-zih-m
abysmal,ə-biz´-məl,uh-bih´-z-muh-l
abysmally,ə-biz´-məl-li,uh-bih´-z-muh-lee
abyss,ə-bis´,uh-bih´-s
abyssal,ə-bis´-əl,uh-bih´-suh-l
Abyssinian (Abyssinians),ab´-ə-sin′-i-ən (z),åh´-bih-sih′-nee-eh-n (z)
AC (A.C.) (air conditioning),ā sē´,eh-ee see´
acacia,ə-kā´-shə,uh-keh´-shuh
academe,ak´-ə-dēm′,åh´-kuh-dee′-m
academeia,ak´-ə-dēm′-i-ə,åh´-kuh-dee′-mee-uh
